state,total_pop,white_pop,total_pop2,non_hispanic_pop,hispanic_pop,non_hispanic_white_pop,state_code,year,ideo_vector,ideo_mean
Florida,21538187,12422961,21538187,15840947,5697240,11100503,12,2020,"[0.281, -0.42, -0.439, 0.36, 0.405, 0.525, -0.4, 0.51, -0.478, -0.4, -0.225, -0.338, 0.527, 0.625, -0.259, 0.447, -0.16, 0.419, -0.379, 0.6759999999999999, 0.417, 0.6659999999999999, 0.701, 0.5820000000000001, 0.259, 0.277, -0.564, 0.5870000000000001, 0.652]",0.1673793103448276
Florida,15982378,12465029,15982378,13299663,2682715,10458509,12,2000,"[0.325, 0.377, 0.3, 0.382, 0.421, 0.5539999999999999, 0.244, -0.429, 0.329, -0.304, 0.453, 0.382, 0.453, -0.483, -0.324, 0.243, -0.564, 0.471, 0.311, -0.181, -0.278, -0.392, 0.672, 0.466, -0.231]",0.12788
Georgia,10711908,5555483,10711908,9588451,1123457,5362156,13,2020,"[-0.302, -0.468, 0.5660000000000001, 0.585, 0.795, 0.693, 0.6920000000000001, 0.6, -0.266, -0.28800000000000003, 0.812, 0.8, -0.332, -0.28300000000000003, 0.555, -0.449, -0.381]",0.1958235294117647
Georgia,8186453,5327281,8186453,7751226,435227,5128661,13,2000,"[-0.589, 0.54, -0.28300000000000003, 0.536, 0.5589999999999999, -0.5329999999999999, 0.632, 0.423, 0.5329999999999999, 0.402, 0.581, 0.407, -0.22, 0.146]",0.22385714285714284
Georgia,9687653,5787440,9687653,8833964,853689,5413920,13,2010,"[-0.589, -0.119, 0.561, -0.302, 0.644, 0.672, -0.119, -0.468, 0.913, 0.716, 0.54, -0.28300000000000003, 0.5589999999999999, 0.581, 0.423, 0.402]",0.2581875
Hawaii,1211537,294102,1211537,1123838,87699,277091,15,2000,"[-0.513, -0.4320000000000001, -0.319, -0.419]",-0.42075
Hawaii,1360301,336599,1360301,1239459,120842,309343,15,2010,"[-0.4320000000000001, -0.512, 0.172, -0.319, -0.419]",-0.30200000000000005
Hawaii,1455271,333261,1455271,1316348,138923,314365,15,2020,"[-0.196, -0.318, -0.512, -0.443]",-0.36725
Idaho,1293953,1177304,1293953,1192263,101690,1139291,16,2000,"[0.797, 0.29600000000000004, 0.494, 0.502]",0.52225
Idaho,1567582,1396487,1567582,1391681,175901,1316243,16,2010,"[0.08800000000000001, 0.29600000000000004, 0.502, 0.585]",0.36775
