state,total_pop,white_pop,total_pop2,non_hispanic_pop,hispanic_pop,non_hispanic_white_pop,state_code,year,ideo_vector,ideo_mean
South Carolina,4625364,3060000,4625364,4389682,235682,2962740,45,2010,"[-0.256, 0.3670000000000001, 0.536, 0.653, 0.518, -0.464, 0.394, 0.7]",0.30600000000000005
South Dakota,754844,669404,754844,743941,10903,664585,46,2000,"[0.42, -0.303, -0.25]",-0.044333333333333336
South Dakota,886667,715336,886667,847926,38741,705583,46,2020,"[0.461, 0.42, 0.385]",0.422
South Dakota,814180,699392,814180,792061,22119,689502,46,2010,"[-0.184, -0.25, 0.42]",-0.0046666666666666705
Tennessee,5689283,4563310,5689283,5565445,123838,4505930,47,2000,"[-0.204, -0.21600000000000005, 0.604, -0.182, 0.428, 0.5429999999999999, 0.442, 0.396, -0.359, 0.366, 0.403]",0.20190909090909093
Tennessee,6910840,4990938,6910840,6431653,479187,4900246,47,2020,"[-0.163, -0.4, 0.457, 0.585, 0.524, 0.67, 0.6779999999999999, 0.68, 0.652, 0.623, 0.7170000000000001]",0.4566363636363636
Tennessee,6346105,4921948,6346105,6056046,290059,4800782,47,2010,"[-0.163, -0.204, 0.604, -0.182, -0.205, 0.623, -0.4, 0.486, 0.428, 0.324, 0.395]",0.15509090909090908
Texas,29145505,14609365,29145505,17703788,11441717,11584597,48,2020,"[0.573, 0.474, 0.633, -0.438, 0.43, -0.227, 0.7120000000000001, -0.4, 0.584, -0.401, -0.312, 0.7020000000000001, 0.643, -0.381, 0.667, -0.431, 0.4, -0.392, -0.408, -0.747, 0.722, 0.8, 0.551, 0.711, 0.7340000000000001, 0.275, 0.746, 0.546, 0.6659999999999999, 0.498, 0.464, -0.402, -0.46, 0.5870000000000001, 0.524, 0.398, -0.485, 0.48, 0.8390000000000001]",0.25320512820512825
Texas,20851820,14799505,20851820,14182154,6669666,10933313,48,2000,"[0.496, 0.863, -0.316, 0.019, 0.096, -0.272, 0.528, 0.458, 0.593, 0.635, 0.425, 0.61, -0.226, -0.402, 0.525, -0.46, -0.292, -0.25, -0.185, 0.5870000000000001, 0.524, -0.179, 0.398, -0.34, -0.321, -0.349, -0.34700000000000003, 0.4, -0.324, -0.485, 0.551, 0.35600000000000004]",0.103625
Texas,25145561,17701552,25145561,15684640,9460921,11397345,48,2010,"[0.863, -0.272, 0.528, 0.425, 0.503, 0.703, 0.628, 0.573, 0.474, 0.633, 0.594, -0.438, 0.43, 0.593, 0.6, -0.227, 0.5479999999999999, 0.61, -0.226, -0.402, 0.525, -0.46, 0.5870000000000001, 0.524, 0.398, -0.34, -0.321, -0.349, -0.34700000000000003, -0.324, -0.485, 0.424, 0.48, 0.35600000000000004]",0.2296470588235294
Utah,2763885,2379560,2763885,2405545,358340,2221719,49,2010,"[-0.115, 0.537, 0.647, 0.382, 0.331]",0.3564
Utah,3271616,2573413,3271616,2778704,492912,2465355,49,2020,"[0.526, 0.517, 0.369, 0.484, 0.901, 0.297]",0.5156666666666667
Utah,2233169,1992975,2233169,2031610,201559,1904265,49,2000,"[0.496, 0.364, 0.596, 0.382, 0.331]",0.4338
Vermont,643077,577751,643077,627573,15504,573201,50,2020,"[-0.409, -0.36, -0.531]",-0.4333333333333333
Vermont,625741,596292,625741,616533,9208,590223,50,2010,"[-0.409, -0.36, -0.531]",-0.4333333333333333
Vermont,608827,589208,608827,603323,5504,585431,50,2000,"[-0.531, 0.014, -0.36]",-0.29233333333333333
Virginia,8001024,5486852,8001024,7369199,631825,5186450,51,2010,"[0.284, -0.265, 0.407, 0.518, 0.446, -0.03, -0.122, -0.306, -0.302, -0.45, 0.496, -0.16899999999999998, -0.203]",0.023384615384615375
Virginia,8631393,5208856,8631393,7722644,908749,5058363,51,2020,"[0.446, -0.306, 0.546, -0.385, -0.375, 0.6990000000000001, -0.196, -0.173, -0.393, 0.8, -0.45, -0.203, -0.243]",-0.017923076923076913
Virginia,7078515,5120110,7078515,6748975,329540,4965637,51,2000,"[0.382, 0.284, 0.242, -0.265, -0.122, -0.149, -0.302, 0.282, 0.118, -0.45, 0.496, 0.583, 0.262, -0.2]",0.08292857142857142
Washington,6724540,5196362,6724540,5968750,755790,4876804,53,2010,"[-0.312, -0.6659999999999999, -0.365, 0.425, 0.224, 0.416, -0.285, -0.33, -0.342, -0.305, -0.35200000000000004]",-0.172
Washington,7705281,5130920,7705281,6646068,1059213,4918820,53,2020,"[-0.365, 0.425, 0.353, -0.31, 0.339, -0.695, -0.34700000000000003, -0.586, -0.285, -0.28300000000000003, -0.305, -0.35200000000000004]",-0.20091666666666666
Washington,5894121,4821823,5894121,5452612,441509,4652490,53,2000,"[-0.312, -0.6659999999999999, 0.384, 0.416, 0.35700000000000004, -0.285, -0.33, -0.342, 0.384, 0.271, -0.35200000000000004]",-0.043181818181818175
West Virginia,1808344,1718777,1808344,1796065,12279,1709966,54,2000,"[-0.306, -0.32, -0.292, -0.309, -0.326]",-0.3106
West Virginia,1793716,1610749,1793716,1758889,34827,1598834,54,2020,"[0.301, 0.5770000000000001, 0.476, 0.267, -0.057]",0.3128
West Virginia,1852994,1739988,1852994,1830726,22268,1726256,54,2010,"[-0.306, -0.292, 0.267, -0.309, -0.326, -0.747, -0.057]",-0.25285714285714284
Wisconsin,5893718,4737545,5893718,5446428,447290,4634018,55,2020,"[-0.528, -0.54, 0.603, 0.44, 0.425, 0.633, 0.608, -0.261, -0.4920000000000001, 0.601]",0.14889999999999998
Wisconsin,5363675,4769857,5363675,5170754,192921,4681630,55,2000,"[-0.45, 0.638, 0.379, -0.322, -0.261, 0.556, -0.4920000000000001, 0.456, -0.38, -0.256, -0.308]",-0.04
Wisconsin,5686986,4902067,5686986,5350930,336056,4738411,55,2010,"[-0.45, 0.638, 0.379, -0.528, -0.317, -0.261, 0.556, -0.4920000000000001, -0.256, -0.308]",-0.10390000000000002
Wyoming,563626,511279,563626,513395,50231,483874,56,2010,"[0.6779999999999999, 0.544, 0.545]",0.589
Wyoming,493782,454670,493782,462113,31669,438799,56,2000,"[0.501, 0.446, 0.545]",0.49733333333333335
Wyoming,576851,488374,576851,517805,59046,469664,56,2020,"[0.4920000000000001, 0.6779999999999999, 0.544]",0.5713333333333334
